filename,sha256,file_size_bytes
Audit_Dataset_Chest_Xray_Pneumonia.docx,264a3ffc0e470ae9a1aaa8eee2efb8a9c28dd104438f7657b796dafa159eb420,12571
class_distribution.csv,3e0a05f409f8da2bef9195f62e9ea1acc37c85c05baecf36efe60cac6aa71909,108
exact_duplicates.csv,ad22ef2339fae20ae2e39fd3c3d27be2be72d235ca0da1459955d0d90c26292c,5919
low_resolution_images.csv,599e366a6258e32b6ed6f95820064e6b830d921765fd64e7ad75883525f27e68,29456
manifest.csv,10e0cc9350fc2b7028e6d3e412f0090c3f3f462dcf3304b501daea0a7c6322dc,1472257
mode_counts.csv,1c569c561d6a202c1e945b4ab1b08dba76e537322fc17a32906eac2b874ad109,135
near_duplicates.csv,ac38fbaddafa07823a89e975a9d579bb1b3a12725807caa4704ebdbc2a44a541,221165
patient_split_overlap.csv,508987bb7c5eb32910bbfa2913c1e6006ef9778bd9c213f23ab88e09fe46ae21,8772
potential_blurry_images.csv,20deaf3f69042207994eb50cf493cb4962a56fc4613f3fc7a3c39e28923c8682,31189
proposed_split_mapping.csv,e80b6520eadf69a565aa8729108f4f808f77079b13149bd835b19843f15b7b39,952915
resolution_stats.csv,5718d25fdfc4f0fbdbf34452bdc99c35500b13c4ae3dbac959b49fdc66f9ad65,1582
